ANO_ELEICAO,NUM_TURNO,SIGLA_UE,DESCRICAO_CARGO,APTOS,COMPARECIMENTO
2006,1,AM,DEPUTADO FEDERAL,1781246,1464976
2006,1,AM,GOVERNADOR,1781246,1464976
2006,1,AM,SENADOR,1781246,1464976
2006,1,AP,DEPUTADO ESTADUAL,360614,309127
2006,1,AP,DEPUTADO FEDERAL,360614,309127
2006,1,AP,GOVERNADOR,360614,309127
2006,1,AP,SENADOR,360614,309127
2006,1,BA,DEPUTADO ESTADUAL,9109353,7225104
2006,1,BA,DEPUTADO FEDERAL,9109353,7225104
2006,1,BA,GOVERNADOR,9109353,7225104
2006,1,BA,SENADOR,9109353,7225104
2006,1,CE,DEPUTADO ESTADUAL,5361581,4429568
2006,1,CE,DEPUTADO FEDERAL,5361581,4429568
2006,1,CE,GOVERNADOR,5361581,4429568
2006,1,CE,SENADOR,5361581,4429568
2006,1,DF,DEPUTADO DISTRITAL,1655050,1425300
2006,1,DF,DEPUTADO FEDERAL,1655050,1425300
2006,1,DF,GOVERNADOR,1655050,1425300
2006,1,DF,SENADOR,1655050,1425300
2006,1,ES,DEPUTADO ESTADUAL,2336133,1942849
2006,1,ES,DEPUTADO FEDERAL,2336133,1942849
2006,1,ES,GOVERNADOR,2336133,1942849
2006,1,ES,SENADOR,2336133,1942849
2006,1,GO,DEPUTADO ESTADUAL,3734185,3094151
2006,1,GO,DEPUTADO FEDERAL,3734185,3094151
2006,1,GO,GOVERNADOR,3734185,3094151
2006,1,GO,SENADOR,3734185,3094151
2006,1,MA,DEPUTADO ESTADUAL,3920274,3103200
2006,1,MA,DEPUTADO FEDERAL,3920274,3103200
2006,1,MA,GOVERNADOR,3920274,3103200
2006,1,MA,SENADOR,3920274,3103200
2006,1,MG,DEPUTADO ESTADUAL,13679738,11232595
2006,1,MG,DEPUTADO FEDERAL,13679738,11232595
2006,1,MG,GOVERNADOR,13679738,11232597
2006,1,MG,SENADOR,13679738,11232597
2006,1,MS,DEPUTADO ESTADUAL,1561181,1288948
2006,1,MS,DEPUTADO FEDERAL,1561181,1288948
2006,1,MS,GOVERNADOR,1561181,1288948
2006,1,MS,SENADOR,1561181,1288948
2006,1,MT,DEPUTADO ESTADUAL,1940270,1549616
2006,1,MT,DEPUTADO FEDERAL,1940270,1549616
2006,1,MT,GOVERNADOR,1940270,1549616
2006,1,MT,SENADOR,1940270,1549616
2006,1,PA,DEPUTADO ESTADUAL,4157654,3333615
2006,1,PA,DEPUTADO FEDERAL,4157654,3333615
2006,1,PA,GOVERNADOR,4157654,3333614
2006,1,PA,SENADOR,4157654,3333614
2006,1,PB,DEPUTADO ESTADUAL,2573766,2154153
2006,1,PB,DEPUTADO FEDERAL,2573766,2154153
2006,1,PB,GOVERNADOR,2573766,2154153
2006,1,PB,SENADOR,2573766,2154153
2006,1,PE,DEPUTADO ESTADUAL,5834512,4769970
2006,1,PE,DEPUTADO FEDERAL,5834512,4769970
2006,1,PE,GOVERNADOR,5834512,4769970
2006,1,PE,SENADOR,5834512,4769970
2006,1,PI,DEPUTADO ESTADUAL,2073504,1738648
2006,1,PI,DEPUTADO FEDERAL,2073504,1738648
2006,1,PI,GOVERNADOR,2073504,1738648
2006,1,PI,SENADOR,2073504,1738648
2006,1,PR,DEPUTADO ESTADUAL,7121257,5967396
2006,1,PR,DEPUTADO FEDERAL,7121257,5967396
2006,1,PR,GOVERNADOR,7121257,5967396
2006,1,PR,SENADOR,7121257,5967396
2006,1,RJ,DEPUTADO ESTADUAL,10891293,9255690
2006,1,RJ,DEPUTADO FEDERAL,10891293,9255690
2006,1,RJ,GOVERNADOR,10891293,9255690
